,asOfDate,symbol,AccountsPayable,AccountsReceivable,NetIncome,StockholdersEquity,Inventory,GrossProfit,OperatingRevenue,TotalRevenue,OperatingCashFlow,TotalDebt,RetainedEarnings,DilutedEPS,DepreciationAndAmortizationInIncomeStatement,WorkingCapital,EBIT
0,2023-09-30,ADANIENT.NS,238781500000.0,75857000000.0,,366716500000.0,75197600000.0,,,,,571446400000.0,,2.0,,-90591100000.0,
1,2023-12-31,ADANIENT.NS,,,18884500000.0,,,115082600000.0,250502300000.0,250502300000.0,,,,16.1,,,29561200000.0
2,2024-03-31,ADANIENT.NS,255585000000.0,97929300000.0,4493500000.0,390760900000.0,94868600000.0,53241200000.0,200239900000.0,200239900000.0,,653101500000.0,186290600000.0,,,-76247900000.0,13712800000.0
3,2024-06-30,ADANIENT.NS,,,14545000000.0,,,102075100000.0,254724000000.0,254724000000.0,,,,12.3,,,33660500000.0
4,2024-09-30,ADANIENT.NS,225938800000.0,69214700000.0,17417500000.0,418957100000.0,108912300000.0,99180500000.0,226080700000.0,226080700000.0,,804272500000.0,,14.82,,-159659900000.0,33187200000.0
5,2024-12-31,ADANIENT.NS,,,578300000.0,,,89910400000.0,228484200000.0,228484200000.0,,,,0.04,,,27168800000.0
0,2023-09-30,ADANIPORTS.NS,17067100000.0,32895200000.0,,486934000000.0,4782900000.0,,,,,500603400000.0,,8.09,,31389400000.0,
1,2023-12-31,ADANIPORTS.NS,,,22084100000.0,,,36303400000.0,69201000000.0,69201000000.0,,,,10.22,,,34277300000.0
2,2024-03-31,ADANIPORTS.NS,42178800000.0,36669400000.0,20396600000.0,529447700000.0,4375100000.0,52718600000.0,68965000000.0,68965000000.0,,491666600000.0,371956900000.0,,,10094200000.0,29446500000.0
3,2024-06-30,ADANIPORTS.NS,,,31128300000.0,,,36086100000.0,69563200000.0,69563200000.0,,,,14.41,,,42480500000.0
4,2024-09-30,ADANIPORTS.NS,19152100000.0,35402700000.0,24450000000.0,571764500000.0,5411100000.0,37215700000.0,70670200000.0,70670200000.0,,504850200000.0,,11.32,,20653000000.0,35737300000.0
5,2024-12-31,ADANIPORTS.NS,,,25202600000.0,,,42221200000.0,79635500000.0,79635500000.0,,,,11.67,,,37785500000.0
0,2023-09-30,APOLLOHOSP.NS,20882000000.0,23999000000.0,,65086000000.0,4234000000.0,,,,,48889000000.0,,16.2,,11081000000.0,
1,2023-12-31,APOLLOHOSP.NS,,,2453000000.0,,,23175000000.0,48506000000.0,48506000000.0,,,,17.06,1670000000.0,,4759000000.0
2,2024-03-31,APOLLOHOSP.NS,23686000000.0,25149000000.0,2538000000.0,69354000000.0,4598000000.0,22013000000.0,47470000000.0,47470000000.0,,53326000000.0,27726000000.0,,1897000000.0,6152000000.0,3726000000.0
